frame,timestamp_ms,lane_offset_px
0,0,295.0
1,33,302.5
2,67,305.0
3,100,309.0
4,133,321.0
12,400,323.0
13,433,315.5
14,467,325.5
15,500,324.0
16,533,324.5
17,567,336.5
25,833,304.5
26,867,330.0
27,900,324.0
28,933,325.5
29,967,324.0
30,1000,331.0
31,1033,335.5
38,1267,339.0
39,1300,329.5
40,1333,333.5
41,1367,326.0
42,1400,327.5
43,1433,325.5
44,1467,327.0
45,1500,341.5
53,1767,338.0
54,1800,329.5
55,1833,339.0
56,1867,345.0
57,1900,339.0
58,1933,356.5
59,1967,350.5
66,2200,324.5
67,2233,352.5
68,2267,351.0
69,2300,360.0
70,2333,353.5
71,2367,361.0
72,2400,358.5
80,2667,339.0
81,2700,374.0
82,2733,361.5
83,2767,368.0
84,2800,368.5
85,2833,379.5
93,3100,363.0
94,3133,360.0
95,3167,373.0
96,3200,370.5
97,3233,375.0
98,3267,377.5
99,3300,374.0
107,3567,384.0
108,3600,373.0
109,3633,371.0
110,3667,362.5
111,3700,383.0
121,4033,362.0
122,4067,352.5
123,4100,358.5
124,4133,350.5
125,4167,355.0
126,4200,360.0
127,4233,370.0
134,4467,533.5
135,4500,597.0
136,4533,549.0
137,4567,436.5
138,4600,348.5
139,4633,348.0
140,4667,349.0
141,4700,360.0
145,4833,192.0
146,4867,174.0
147,4900,163.0
148,4933,344.5
149,4967,346.0
150,5000,335.0
151,5033,340.5
152,5067,339.0
153,5100,352.5
154,5133,354.5
156,5200,101.5
161,5367,345.0
162,5400,341.5
163,5433,335.0
164,5467,324.5
165,5500,333.0
166,5533,328.5
167,5567,333.0
175,5833,337.5
176,5867,327.0
177,5900,318.0
178,5933,328.0
179,5967,317.0
180,6000,336.0
181,6033,333.5
188,6267,335.0
189,6300,326.5
190,6333,322.5
191,6367,322.5
192,6400,326.0
193,6433,318.5
194,6467,323.0
195,6500,329.5
203,6767,321.5
204,6800,316.0
205,6833,316.0
206,6867,313.0
207,6900,314.0
208,6933,316.5
209,6967,520.5
210,7000,533.5
211,7033,537.0
216,7200,313.5
217,7233,304.5
218,7267,308.5
219,7300,298.0
220,7333,427.5
221,7367,476.0
222,7400,731.0
230,7667,302.0
231,7700,296.5
232,7733,286.5
233,7767,290.0
234,7800,288.5
235,7833,292.0
236,7867,297.0
244,8133,260.0
245,8167,280.0
246,8200,280.0
247,8233,306.5
257,8567,286.0
258,8600,276.0
259,8633,278.0
260,8667,273.0
261,8700,275.5
262,8733,281.5
263,8767,285.0
271,9033,277.5
272,9067,274.0
273,9100,284.0
274,9133,272.0
275,9167,276.0
276,9200,288.0
283,9433,469.0
284,9467,608.0
285,9500,615.5
286,9533,590.0
287,9567,279.0
288,9600,532.5
289,9633,290.0
290,9667,261.0
294,9800,149.0
295,9833,126.0
296,9867,972.5
298,9933,296.0
299,9967,295.0
300,10000,300.0
301,10033,292.0
302,10067,302.0
303,10100,311.5
312,10400,307.0
313,10433,307.5
314,10467,289.5
315,10500,322.5
316,10533,318.5
323,10767,334.0
324,10800,321.0
325,10833,316.0
326,10867,334.0
327,10900,329.0
328,10933,334.5
329,10967,336.5
330,11000,344.0
339,11300,347.5
340,11333,345.0
341,11367,342.5
342,11400,355.5
343,11433,355.0
351,11700,367.0
352,11733,339.5
353,11767,367.5
354,11800,368.5
355,11833,372.0
356,11867,375.0
364,12133,365.0
365,12167,392.5
366,12200,386.0
367,12233,393.5
368,12267,397.5
369,12300,401.0
370,12333,407.5
378,12600,428.0
379,12633,419.0
380,12667,425.0
381,12700,415.0
382,12733,427.0
383,12767,445.5
384,12800,442.0
392,13067,445.5
393,13100,447.5
394,13133,442.5
395,13167,444.0
396,13200,443.0
405,13500,437.5
406,13533,461.0
407,13567,456.5
408,13600,456.5
409,13633,456.5
410,13667,460.0
419,13967,459.0
420,14000,444.5
421,14033,443.5
422,14067,438.5
423,14100,444.0
424,14133,456.5
432,14400,440.0
433,14433,429.0
434,14467,414.5
435,14500,415.0
436,14533,416.0
437,14567,409.0
438,14600,420.0
446,14867,396.5
447,14900,385.0
448,14933,385.5
449,14967,381.5
450,15000,384.5
451,15033,383.5
452,15067,386.5
460,15333,365.5
461,15367,361.0
462,15400,352.0
463,15433,362.0
464,15467,361.0
465,15500,362.5
473,15767,361.0
474,15800,363.5
475,15833,351.5
476,15867,349.5
477,15900,347.0
478,15933,363.0
479,15967,352.0
487,16233,372.5
488,16267,341.5
489,16300,367.0
490,16333,368.5
491,16367,359.5
492,16400,374.5
493,16433,378.5
502,16733,393.5
503,16767,390.5
504,16800,390.0
505,16833,395.0
506,16867,398.5
507,16900,402.5
515,17167,412.0
516,17200,402.0
517,17233,394.5
518,17267,394.5
519,17300,394.5
520,17333,400.0
521,17367,398.5
529,17633,396.0
530,17667,391.0
531,17700,384.5
532,17733,390.0
533,17767,383.0
534,17800,392.0
535,17833,401.5
543,18100,356.0
544,18133,372.0
545,18167,374.5
546,18200,365.5
547,18233,368.5
548,18267,372.0
549,18300,359.0
557,18567,354.0
558,18600,351.0
559,18633,347.5
560,18667,343.0
561,18700,340.0
562,18733,351.0
563,18767,353.5
571,19033,332.5
572,19067,330.0
573,19100,330.5
574,19133,334.0
575,19167,332.0
576,19200,336.0
577,19233,343.0
585,19500,311.0
586,19533,313.0
587,19567,328.5
588,19600,322.5
589,19633,323.0
590,19667,341.0
591,19700,336.0
599,19967,318.0
600,20000,331.5
601,20033,336.0
602,20067,335.5
603,20100,332.0
604,20133,339.0
612,20400,354.0
613,20433,352.0
614,20467,342.5
615,20500,340.5
616,20533,344.5
617,20567,350.5
618,20600,349.5
619,20633,359.0
626,20867,349.0
627,20900,346.5
628,20933,336.0
629,20967,331.5
630,21000,333.5
631,21033,333.5
632,21067,337.5
633,21100,341.0
641,21367,330.5
642,21400,318.0
643,21433,316.0
644,21467,314.0
645,21500,317.0
646,21533,323.5
647,21567,325.5
654,21800,316.0
655,21833,304.0
656,21867,303.0
657,21900,306.5
658,21933,302.5
659,21967,304.5
660,22000,305.5
668,22267,306.0
669,22300,309.5
670,22333,287.0
671,22367,291.0
672,22400,295.5
673,22433,292.5
674,22467,304.0
683,22767,289.5
684,22800,278.0
685,22833,277.5
686,22867,287.5
687,22900,284.0
688,22933,290.5
696,23200,285.0
697,23233,286.0
698,23267,266.5
699,23300,276.0
700,23333,271.5
701,23367,279.0
710,23667,282.5
711,23700,275.5
712,23733,283.0
713,23767,284.5
714,23800,285.5
715,23833,285.5
723,24100,310.0
724,24133,299.0
725,24167,304.0
726,24200,299.5
727,24233,300.0
728,24267,307.0
729,24300,319.5
737,24567,317.5
738,24600,318.5
739,24633,317.5
740,24667,318.5
741,24700,324.0
742,24733,329.0
743,24767,338.0
751,25033,328.0
752,25067,315.0
753,25100,325.0
754,25133,329.0
755,25167,338.0
756,25200,335.5
757,25233,344.0
764,25467,340.5
765,25500,334.5
766,25533,323.0
767,25567,330.0
768,25600,340.0
769,25633,333.5
770,25667,342.0
778,25933,344.0
779,25967,340.0
780,26000,335.0
781,26033,337.5
782,26067,339.5
783,26100,341.5
784,26133,347.0
791,26367,356.0
792,26400,344.5
793,26433,329.5
794,26467,345.0
795,26500,343.5
796,26533,344.0
797,26567,346.5
805,26833,356.0
806,26867,348.5
807,26900,343.0
808,26933,353.0
809,26967,349.5
810,27000,355.5
811,27033,361.0
818,27267,366.0
819,27300,362.0
820,27333,355.5
821,27367,347.0
822,27400,353.5
823,27433,356.5
824,27467,357.0
832,27733,368.0
833,27767,365.5
834,27800,360.0
835,27833,361.5
836,27867,361.5
837,27900,363.5
838,27933,370.0
839,27967,375.0
846,28200,373.5
847,28233,364.5
848,28267,354.0
849,28300,366.5
850,28333,359.0
851,28367,356.0
852,28400,371.0
860,28667,365.5
861,28700,365.0
862,28733,361.5
863,28767,363.0
864,28800,359.5
865,28833,368.5
866,28867,372.5
873,29100,373.5
874,29133,368.0
875,29167,362.5
876,29200,356.5
877,29233,364.5
878,29267,367.0
879,29300,367.5
887,29567,348.5
888,29600,338.5
889,29633,358.0
890,29667,360.0
891,29700,365.0
892,29733,363.0
893,29767,368.0
894,29800,379.0
897,29900,380.5
898,29933,373.5
